VR1_A,AATS8Z,AATS3i,ATSC6s,ATSC2i,NdsN,pLBC50
565.905154,13.098684,162.06825,12.108889,-7.274397,0,2.339039
436.994745,9.639241,164.183073,-10.457331,2.265733,0,0.4691
326.895475,14.048077,154.082825,-15.500764,18.780801,0,1.218012
645.933773,8.753165,158.953671,-15.301538,-3.53694,0,3.083541
476.720786,9.42963,159.249372,-18.227966,-13.900034,0,2.018158
275.96734,12.673913,159.237885,-34.141948,-14.480725,0,2.205251
403.3377,9.255319,161.036453,-15.359836,-15.769034,0,1.202281
478.9327,13.936937,159.217129,-22.766161,-24.684108,0,1.93311
314.777378,12.917355,160.981233,-6.31551,-2.965149,1,-0.630947
436.218705,9.267176,161.138288,-27.735254,-9.72622,0,1.668776
411.429473,9,159.199056,-5.788701,2.760457,0,1.828441
581.568865,8.28,160.471712,-11.317635,-18.417702,0,1.322066
293.507864,12.379845,161.568331,-28.796315,-23.583687,0,2.167882
358.386807,7.978723,159.539142,-18.791667,-8.510342,0,2.666751
249.91192,7.530928,157.038252,-12.420319,-0.619808,0,-0.287007
350.17409,8.717557,159.692648,-13.550602,-1.645149,0,0.749623
326.561705,8.925234,159.486823,-15.484984,-12.466428,0,3.174911
326.561705,8.384615,160.648946,-11.374332,-12.001165,0,1.137909
170.774771,5.586207,152.542464,16.653581,26.773039,0,-0.608545
207.343088,7.282051,154.201624,4.849401,20.058294,0,-0.050064
206.328784,7.359788,154.362439,-10.701563,22.678225,0,-1.358236
297.153169,9.55914,160.201998,-9.706267,-10.007774,0,0.111849
161.271413,16.72093,158.641877,-14.013439,-12.763959,1,1.178537
161.271413,15.625,156.417655,-12.237371,-11.913167,1,-1.57335
161.271413,19.325581,155.96994,-4.762441,-5.142693,1,0.734517
144.932461,4.178571,152.931137,29.810232,17.456676,0,0.288951
157.142715,4.676471,153.689135,8.874444,26.332296,0,-1.431941
157.142715,5.285714,152.512472,10.230564,26.924837,0,-0.578135
148.096158,15.517241,155.912507,-11.685238,-1.099581,1,0.155312
155.424587,28.266667,154.862656,-4.892612,0.245125,1,0.995385
163.455619,14.116279,156.348263,-4.119259,-6.208012,1,-0.321947
135.011498,4.423077,152.909551,13.160807,17.336522,0,0.216139
136.588164,22.05,154.768428,12.665133,-9.048763,1,-0.496325
164.878861,4.335443,153.181579,-12.04375,25.02782,0,0.522824
164.878861,4.335443,153.181579,-12.04375,25.02782,0,0.056844
133.478165,9.790698,153.603748,-10.663834,7.968601,1,-1.253008
133.74398,15.25,155.177846,14.728299,-9.932658,1,-0.829028
135.317789,11.955556,154.898483,-16.442498,9.066011,2,-1.617001
120.536894,10.935484,155.183091,-19.031137,-8.786208,1,-1.092742
123.680448,10.210526,152.595177,-0.576901,8.43121,1,-1.823703
116.266515,3.684211,154.041197,-11.401616,16.653259,0,-0.685674
112.191398,17.96,156.083454,-1.799598,-10.618668,1,-0.894897
122.405605,5.941176,155.307186,-15.160637,26.979246,0,-1.531886
151.489593,6.611111,162.057263,-16.139118,-11.562983,0,0.254783
111.594288,3.166667,160.266538,-3.358606,-12.677987,0,-1.138357
99.622162,4.942308,155.314181,20.888889,18.116934,0,-0.509813
106.1069,4.536585,161.620532,-21.523833,-8.294866,0,0.264052
90.023642,3.545455,159.618948,-25.79321,-0.888245,0,-0.870627
92.146655,4.472222,161.640125,-21.404432,-7.713576,0,0.543532
104.845498,8.918919,160.56575,5.401231,3.83399,0,-0.395172
110.740747,10.390244,164.115882,-36.28361,50.735521,0,-1.627035
77.95949,4.727273,155.201869,7.11407,23.752183,0,-0.909616
84.876111,5.430769,160.858508,-13.429267,-3.649505,0,-0.511739
120.48971,8.918919,161.099324,3.214844,2.66472,0,-1.25094
71.591947,7.45,156.074636,5.410027,13.676047,0,0.686231
63.662696,2.590909,158.534771,-2.741733,9.20403,0,-0.379463
85.1299,8.52,157.963645,-1.172216,12.298461,0,-0.703086
65.14568,10.615385,162.022942,-8.363264,-4.011981,0,-0.507612
66.662572,6.125,158.287087,3.346154,3.834139,0,-1.55616
64.83052,4.142857,162.736133,-11.955978,-7.263988,0,0.223492
64.83052,4.142857,160.373978,-12.875939,0.390625,0,-0.270952
51.622316,2.724138,156.430079,-11.075609,9.888435,0,-0.186496
51.473354,13.857143,158.444104,-2.285152,5.668098,0,0.731437
51.473354,8.142857,162.703717,33.350133,-3.873393,0,-0.95262
57.889602,4.461538,162.53708,-9.905329,-5.301036,0,-0.939225
45.964961,2.428571,160.059084,-2.455456,2.781181,0,-1.540732
37.399418,1,157.4044,-1.555576,-3.906368,0,-1.354596
38.336941,1,160.627332,-1.732253,-5.485695,0,-1.56071
40.800778,2.428571,159.845059,-1.737673,3.31174,0,-1.245568
33.763219,1,160.421554,-0.89603,-5.34114,0,-1.524868
